LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 5.0, 7169005.0, 199214400, 1.0, 7157014.0, 9408, 7.0, 7169119.0, 28652800, -26215.0, 52431.0, 3932250, -189.0, -1.0, 9450, 131180.0, 7175942.0, 28652800,
1, 5.0, 6741501.0, 80621568, 1.0, 6738582.0, 36864, 7.0, 6741503.0, 26873856, -26215.0, 183511.0, 10486000, -738.0, -1.0, 36900, 131520.0, 6744205.0, 26873856,
2, 5.0, 6741501.0, 80621568, 1.0, 6738582.0, 36864, 7.0, 6741503.0, 26873856, -26215.0, 183511.0, 10486000, -738.0, -1.0, 36900, 131520.0, 6744205.0, 26873856,
3, 5.0, 6741501.0, 80621568, 1.0, 6738582.0, 36864, 7.0, 6741503.0, 26873856, -26215.0, 183511.0, 10486000, -738.0, -1.0, 36900, 131520.0, 6744205.0, 26873856,
4, 5.0, 6741501.0, 80621568, 1.0, 6738582.0, 36864, 7.0, 6741503.0, 26873856, -26215.0, 183511.0, 10486000, -738.0, -1.0, 36900, 131520.0, 6744205.0, 26873856,
5, 5.0, 3658720.0, 43352064, 1.0, 3657962.0, 73728, 7.0, 3658751.0, 14450688, -9032.0, -1.0, 451600, -1475.0, -1.0, 73750, 132750.0, 3664648.0, 14450688,
6, 5.0, 6322173.0, 74760192, 1.0, 6321494.0, 147456, 7.0, 6322175.0, 24920064, -15576.0, -1.0, 778800, -2950.0, -1.0, 147500, 133010.0, 6327744.0, 24920064,
7, 5.0, 435679.0, 1722368, 1.0, 434865.0, 8192, 7.0, 435711.0, 1722368, -1077.0, -1.0, 53850, -164.0, -1.0, 8200, 132630.0, 438701.0, 1722368,
8, 5.0, 6322173.0, 74760192, 1.0, 6321494.0, 147456, 7.0, 6322175.0, 24920064, -15576.0, -1.0, 778800, -2950.0, -1.0, 147500, 133010.0, 6327744.0, 24920064,
9, 5.0, 6322173.0, 74760192, 1.0, 6321494.0, 147456, 7.0, 6322175.0, 24920064, -15576.0, -1.0, 778800, -2950.0, -1.0, 147500, 133010.0, 6327744.0, 24920064,
10, 5.0, 3796974.0, 43352064, 1.0, 3796790.0, 294912, 7.0, 3796991.0, 14450688, -4516.0, -1.0, 225800, -5899.0, -1.0, 294950, 137760.0, 3802888.0, 14450688,
11, 5.0, 5677053.0, 63700992, 1.0, 5676906.0, 589824, 7.0, 5677055.0, 21233664, -6636.0, -1.0, 331800, -11797.0, -1.0, 589850, 140180.0, 5682297.0, 21233664,
12, 5.0, 481261.0, 1843200, 1.0, 481049.0, 32768, 7.0, 481279.0, 1843200, -576.0, -1.0, 28800, -656.0, -1.0, 32800, 136900.0, 486685.0, 1843200,
13, 5.0, 5677053.0, 63700992, 1.0, 5676906.0, 589824, 7.0, 5677055.0, 21233664, -6636.0, -1.0, 331800, -11797.0, -1.0, 589850, 140180.0, 5682297.0, 21233664,
14, 5.0, 5677053.0, 63700992, 1.0, 5676906.0, 589824, 7.0, 5677055.0, 21233664, -6636.0, -1.0, 331800, -11797.0, -1.0, 589850, 140180.0, 5682297.0, 21233664,
15, 5.0, 4349941.0, 43352064, 1.0, 4349897.0, 1179648, 7.0, 4349951.0, 14450688, -2258.0, -1.0, 112900, -23593.0, -1.0, 1179650, 157820.0, 4355848.0, 14450688,
16, 5.0, 5160957.0, 44236800, 1.0, 5160929.0, 2359296, 7.0, 5160959.0, 14745600, -2304.0, -1.0, 115200, -26215.0, 26215.0, 2621500, 183500.0, 5162269.0, 14745600,
17, 5.0, 606196.0, 2097152, 1.0, 606138.0, 131072, 7.0, 606207.0, 2097152, -328.0, -1.0, 16400, -2622.0, -1.0, 131100, 151559.0, 616692.0, 2097152,
18, 5.0, 5160957.0, 44236800, 1.0, 5160929.0, 2359296, 7.0, 5160959.0, 14745600, -2304.0, -1.0, 115200, -26215.0, 26215.0, 2621500, 183500.0, 5162269.0, 14745600,
19, 5.0, 5160957.0, 44236800, 1.0, 5160929.0, 2359296, 7.0, 5160959.0, 14745600, -2304.0, -1.0, 115200, -26215.0, 26215.0, 2621500, 183500.0, 5162269.0, 14745600,
20, 5.0, 351997.0, 128000, 1.0, 351993.0, 512000, 7.0, 351999.0, 128000, -11.0, -1.0, 550, -10240.0, -1.0, 512000, 351999.0, 354558.0, 128000,
